Voltage,Current,Species,Recording,replicate,Date,Venom,Quality,Set
-80,-0.059509277,Rat,activation,1,Oct_12_16,No,Good,5
-75,-0.078735352,Rat,activation,1,Oct_12_16,No,Good,5
-70,-0.036010742,Rat,activation,1,Oct_12_16,No,Good,5
-65,-0.048828125,Rat,activation,1,Oct_12_16,No,Good,5
-60,-0.075683594,Rat,activation,1,Oct_12_16,No,Good,5
-55,-0.054931641,Rat,activation,1,Oct_12_16,No,Good,5
-50,-0.045776367,Rat,activation,1,Oct_12_16,No,Good,5
-45,-0.036621094,Rat,activation,1,Oct_12_16,No,Good,5
-40,-0.054321289,Rat,activation,1,Oct_12_16,No,Good,5
-35,-0.05065918,Rat,activation,1,Oct_12_16,No,Good,5
-30,-0.02166748,Rat,activation,1,Oct_12_16,No,Good,5
-25,-0.057373047,Rat,activation,1,Oct_12_16,No,Good,5
-20,-0.198364258,Rat,activation,1,Oct_12_16,No,Good,5
-15,-0.682983398,Rat,activation,1,Oct_12_16,No,Good,5
-10,-1.41784668,Rat,activation,1,Oct_12_16,No,Good,5
-5,-1.682739258,Rat,activation,1,Oct_12_16,No,Good,5
0,-1.732177734,Rat,activation,1,Oct_12_16,No,Good,5
5,-1.656188965,Rat,activation,1,Oct_12_16,No,Good,5
10,-1.500244141,Rat,activation,1,Oct_12_16,No,Good,5
15,-1.357421875,Rat,activation,1,Oct_12_16,No,Good,5
20,-1.19720459,Rat,activation,1,Oct_12_16,No,Good,5
25,-1.032409668,Rat,activation,1,Oct_12_16,No,Good,5
30,-0.878601074,Rat,activation,1,Oct_12_16,No,Good,5
35,-0.736694336,Rat,activation,1,Oct_12_16,No,Good,5
40,-0.590515137,Rat,activation,1,Oct_12_16,No,Good,5
45,-0.464477539,Rat,activation,1,Oct_12_16,No,Good,5
50,-0.357666016,Rat,activation,1,Oct_12_16,No,Good,5
55,-0.221557617,Rat,activation,1,Oct_12_16,No,Good,5
60,-0.058898926,Rat,activation,1,Oct_12_16,No,Good,5
