Voltage,Current,Species,Recording,replicate,Date,Venom,Set
-80,-0.027160645,Di,activation,1,Dec_29_17,No,40
-75,-0.052490234,Di,activation,1,Dec_29_17,No,40
-70,-0.039672852,Di,activation,1,Dec_29_17,No,40
-65,-0.05065918,Di,activation,1,Dec_29_17,No,40
-60,-0.067749023,Di,activation,1,Dec_29_17,No,40
-55,-0.023803711,Di,activation,1,Dec_29_17,No,40
-50,-0.023803711,Di,activation,1,Dec_29_17,No,40
-45,-0.027770996,Di,activation,1,Dec_29_17,No,40
-40,-0.02166748,Di,activation,1,Dec_29_17,No,40
-35,-0.038452148,Di,activation,1,Dec_29_17,No,40
-30,-0.034179688,Di,activation,1,Dec_29_17,No,40
-25,-0.047607422,Di,activation,1,Dec_29_17,No,40
-20,-0.235290527,Di,activation,1,Dec_29_17,No,40
-15,-2.214050293,Di,activation,1,Dec_29_17,No,40
-10,-2.695922852,Di,activation,1,Dec_29_17,No,40
-5,-2.765808105,Di,activation,1,Dec_29_17,No,40
0,-2.74017334,Di,activation,1,Dec_29_17,No,40
5,-2.62878418,Di,activation,1,Dec_29_17,No,40
10,-2.510986328,Di,activation,1,Dec_29_17,No,40
15,-2.391967773,Di,activation,1,Dec_29_17,No,40
20,-2.242431641,Di,activation,1,Dec_29_17,No,40
25,-2.099609375,Di,activation,1,Dec_29_17,No,40
30,-1.936645508,Di,activation,1,Dec_29_17,No,40
35,-1.794433594,Di,activation,1,Dec_29_17,No,40
40,-1.629943848,Di,activation,1,Dec_29_17,No,40
45,-1.489562988,Di,activation,1,Dec_29_17,No,40
50,-1.389160156,Di,activation,1,Dec_29_17,No,40
55,-1.260070801,Di,activation,1,Dec_29_17,No,40
60,-1.141052246,Di,activation,1,Dec_29_17,No,40
65,-1.039428711,Di,activation,1,Dec_29_17,No,40
70,-0.915222168,Di,activation,1,Dec_29_17,No,40
75,-0.833740234,Di,activation,1,Dec_29_17,No,40
80,-0.741271973,Di,activation,1,Dec_29_17,No,40
85,-0.646057129,Di,activation,1,Dec_29_17,No,40
90,-0.605773926,Di,activation,1,Dec_29_17,No,40
-80,-0.051879883,Di,activation,1,Dec_29_17,Yes,40
-75,-0.02746582,Di,activation,1,Dec_29_17,Yes,40
-70,-0.040283203,Di,activation,1,Dec_29_17,Yes,40
-65,-0.037231445,Di,activation,1,Dec_29_17,Yes,40
-60,-0.008239746,Di,activation,1,Dec_29_17,Yes,40
-55,-0.060119629,Di,activation,1,Dec_29_17,Yes,40
-50,-0.043640137,Di,activation,1,Dec_29_17,Yes,40
-45,-0.072937012,Di,activation,1,Dec_29_17,Yes,40
-40,-0.13092041,Di,activation,1,Dec_29_17,Yes,40
-35,-0.150756836,Di,activation,1,Dec_29_17,Yes,40
-30,-0.247802734,Di,activation,1,Dec_29_17,Yes,40
-25,-0.294189453,Di,activation,1,Dec_29_17,Yes,40
-20,-0.647277832,Di,activation,1,Dec_29_17,Yes,40
-15,-1.793212891,Di,activation,1,Dec_29_17,Yes,40
-10,-2.143859863,Di,activation,1,Dec_29_17,Yes,40
-5,-2.266845703,Di,activation,1,Dec_29_17,Yes,40
0,-2.191772461,Di,activation,1,Dec_29_17,Yes,40
5,-2.091064453,Di,activation,1,Dec_29_17,Yes,40
10,-2.001953125,Di,activation,1,Dec_29_17,Yes,40
15,-1.852111816,Di,activation,1,Dec_29_17,Yes,40
20,-1.674804688,Di,activation,1,Dec_29_17,Yes,40
25,-1.521606445,Di,activation,1,Dec_29_17,Yes,40
30,-1.393432617,Di,activation,1,Dec_29_17,Yes,40
35,-1.268615723,Di,activation,1,Dec_29_17,Yes,40
40,-1.141662598,Di,activation,1,Dec_29_17,Yes,40
45,-1.063232422,Di,activation,1,Dec_29_17,Yes,40
50,-0.92010498,Di,activation,1,Dec_29_17,Yes,40
55,-0.79864502,Di,activation,1,Dec_29_17,Yes,40
60,-0.735473633,Di,activation,1,Dec_29_17,Yes,40
65,-0.697021484,Di,activation,1,Dec_29_17,Yes,40
70,-0.596313477,Di,activation,1,Dec_29_17,Yes,40
75,-0.546875,Di,activation,1,Dec_29_17,Yes,40
80,-0.484008789,Di,activation,1,Dec_29_17,Yes,40
85,-0.382385254,Di,activation,1,Dec_29_17,Yes,40
90,-0.336303711,Di,activation,1,Dec_29_17,Yes,40
-80,-0.055847168,Di,activation,1,Dec_29_17,Late,40
-75,-0.032348633,Di,activation,1,Dec_29_17,Late,40
-70,-0.024414063,Di,activation,1,Dec_29_17,Late,40
-65,-0.05859375,Di,activation,1,Dec_29_17,Late,40
-60,-0.062255859,Di,activation,1,Dec_29_17,Late,40
-55,-0.034179688,Di,activation,1,Dec_29_17,Late,40
-50,-0.075378418,Di,activation,1,Dec_29_17,Late,40
-45,-0.076904297,Di,activation,1,Dec_29_17,Late,40
-40,-0.142211914,Di,activation,1,Dec_29_17,Late,40
-35,-0.136108398,Di,activation,1,Dec_29_17,Late,40
-30,-0.247802734,Di,activation,1,Dec_29_17,Late,40
-25,-0.288085938,Di,activation,1,Dec_29_17,Late,40
-20,-0.841369629,Di,activation,1,Dec_29_17,Late,40
-15,-1.612243652,Di,activation,1,Dec_29_17,Late,40
-10,-1.864929199,Di,activation,1,Dec_29_17,Late,40
-5,-1.842956543,Di,activation,1,Dec_29_17,Late,40
0,-1.821899414,Di,activation,1,Dec_29_17,Late,40
5,-1.72454834,Di,activation,1,Dec_29_17,Late,40
10,-1.583557129,Di,activation,1,Dec_29_17,Late,40
15,-1.460266113,Di,activation,1,Dec_29_17,Late,40
20,-1.326599121,Di,activation,1,Dec_29_17,Late,40
25,-1.259460449,Di,activation,1,Dec_29_17,Late,40
30,-1.115112305,Di,activation,1,Dec_29_17,Late,40
35,-1.014404297,Di,activation,1,Dec_29_17,Late,40
40,-0.889282227,Di,activation,1,Dec_29_17,Late,40
45,-0.800476074,Di,activation,1,Dec_29_17,Late,40
50,-0.725097656,Di,activation,1,Dec_29_17,Late,40
55,-0.601501465,Di,activation,1,Dec_29_17,Late,40
60,-0.59387207,Di,activation,1,Dec_29_17,Late,40
65,-0.513305664,Di,activation,1,Dec_29_17,Late,40
70,-0.489807129,Di,activation,1,Dec_29_17,Late,40
75,-0.364685059,Di,activation,1,Dec_29_17,Late,40
80,-0.325317383,Di,activation,1,Dec_29_17,Late,40
85,-0.249023438,Di,activation,1,Dec_29_17,Late,40
90,-0.131835938,Di,activation,1,Dec_29_17,Late,40
-80,-0.040893555,DiDiiiNC,activation,1,Dec_29_17,No,40
-75,-0.053405762,DiDiiiNC,activation,1,Dec_29_17,No,40
-70,-0.044555664,DiDiiiNC,activation,1,Dec_29_17,No,40
-65,-0.030212402,DiDiiiNC,activation,1,Dec_29_17,No,40
-60,-0.030517578,DiDiiiNC,activation,1,Dec_29_17,No,40
-55,-0.037231445,DiDiiiNC,activation,1,Dec_29_17,No,40
-50,-0.027770996,DiDiiiNC,activation,1,Dec_29_17,No,40
-45,-0.028991699,DiDiiiNC,activation,1,Dec_29_17,No,40
-40,-0.024414063,DiDiiiNC,activation,1,Dec_29_17,No,40
-35,-0.05279541,DiDiiiNC,activation,1,Dec_29_17,No,40
-30,-0.03326416,DiDiiiNC,activation,1,Dec_29_17,No,40
-25,-0.031738281,DiDiiiNC,activation,1,Dec_29_17,No,40
-20,-0.109863281,DiDiiiNC,activation,1,Dec_29_17,No,40
-15,-0.369262695,DiDiiiNC,activation,1,Dec_29_17,No,40
-10,-1.356201172,DiDiiiNC,activation,1,Dec_29_17,No,40
-5,-2.594299316,DiDiiiNC,activation,1,Dec_29_17,No,40
0,-2.978210449,DiDiiiNC,activation,1,Dec_29_17,No,40
5,-3.01940918,DiDiiiNC,activation,1,Dec_29_17,No,40
10,-2.935791016,DiDiiiNC,activation,1,Dec_29_17,No,40
15,-2.756347656,DiDiiiNC,activation,1,Dec_29_17,No,40
20,-2.549133301,DiDiiiNC,activation,1,Dec_29_17,No,40
25,-2.348327637,DiDiiiNC,activation,1,Dec_29_17,No,40
30,-2.152709961,DiDiiiNC,activation,1,Dec_29_17,No,40
35,-1.929931641,DiDiiiNC,activation,1,Dec_29_17,No,40
40,-1.748046875,DiDiiiNC,activation,1,Dec_29_17,No,40
45,-1.54510498,DiDiiiNC,activation,1,Dec_29_17,No,40
50,-1.327819824,DiDiiiNC,activation,1,Dec_29_17,No,40
55,-1.065063477,DiDiiiNC,activation,1,Dec_29_17,No,40
60,-0.809326172,DiDiiiNC,activation,1,Dec_29_17,No,40
65,-0.592651367,DiDiiiNC,activation,1,Dec_29_17,No,40
70,-0.368347168,DiDiiiNC,activation,1,Dec_29_17,No,40
75,-0.162658691,DiDiiiNC,activation,1,Dec_29_17,No,40
80,-0.028686523,DiDiiiNC,activation,1,Dec_29_17,No,40
85,-0.003051758,DiDiiiNC,activation,1,Dec_29_17,No,40
90,0.012207031,DiDiiiNC,activation,1,Dec_29_17,No,40
-80,-0.040588379,DiDiiiNC,activation,1,Dec_29_17,Yes,40
-75,-0.023498535,DiDiiiNC,activation,1,Dec_29_17,Yes,40
-70,-0.026550293,DiDiiiNC,activation,1,Dec_29_17,Yes,40
-65,-0.05065918,DiDiiiNC,activation,1,Dec_29_17,Yes,40
-60,-0.030212402,DiDiiiNC,activation,1,Dec_29_17,Yes,40
-55,-0.024108887,DiDiiiNC,activation,1,Dec_29_17,Yes,40
-50,-0.032958984,DiDiiiNC,activation,1,Dec_29_17,Yes,40
-45,-0.083312988,DiDiiiNC,activation,1,Dec_29_17,Yes,40
-40,-0.09552002,DiDiiiNC,activation,1,Dec_29_17,Yes,40
-35,-0.113220215,DiDiiiNC,activation,1,Dec_29_17,Yes,40
-30,-0.199890137,DiDiiiNC,activation,1,Dec_29_17,Yes,40
-25,-0.232543945,DiDiiiNC,activation,1,Dec_29_17,Yes,40
-20,-0.334472656,DiDiiiNC,activation,1,Dec_29_17,Yes,40
-15,-0.571899414,DiDiiiNC,activation,1,Dec_29_17,Yes,40
