Voltage,Current,Species,Recording,replicate,Date,Venom,Quality,Set
-80,-0.018310547,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
-75,-0.011901855,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
-70,-0.032043457,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
-65,-0.026550293,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
-60,-0.02532959,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
-55,-0.031433105,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
-50,-0.022583008,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
-45,-0.01953125,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
-40,-0.019226074,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
-35,-0.014648438,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
-30,-0.015563965,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
-25,-0.065307617,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
-20,-0.317687988,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
-15,-2.385864258,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
-10,-3.201904297,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
-5,-3.284606934,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
0,-3.22052002,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
5,-3.051757813,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
10,-2.884216309,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
15,-2.720336914,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
20,-2.533874512,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
25,-2.367858887,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
30,-2.258300781,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
35,-2.057800293,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
40,-1.914978027,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
45,-1.771240234,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
50,-1.654663086,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
55,-1.501464844,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
60,-1.37878418,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
65,-1.215209961,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
70,-1.041259766,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
75,-0.89630127,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
80,-0.723266602,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
85,-0.518798828,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
90,-0.356445313,DiDiiiNC,activation,1,Aug_16_17,No,Good,28
-80,-0.038452148,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
-75,-0.038146973,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
-70,-0.037841797,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
-65,-0.042419434,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
-60,-0.050964355,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
-55,-0.057067871,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
-50,-0.092468262,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
-45,-0.166015625,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
-40,-0.25604248,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
-35,-0.314331055,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
-30,-0.402832031,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
-25,-0.500793457,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
-20,-0.727233887,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
-15,-1.655273438,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
-10,-2.32635498,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
-5,-2.476501465,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
0,-2.45880127,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
5,-2.31048584,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
10,-2.168579102,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
15,-1.990966797,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
20,-1.825561523,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
25,-1.636047363,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
30,-1.507568359,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
35,-1.346130371,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
40,-1.196899414,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
45,-1.081542969,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
50,-0.93170166,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
55,-0.751647949,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
60,-0.598144531,DiDiiiNC,activation,1,Aug_16_17,Yes,Good,28
