Voltage,Current,Species,Recording,replicate,Date,Venom,Quality,Set,,
-80,-0.033569336,NoC,activation,1,Sept_15_17,No,Good,32,,
-75,-0.028381348,NoC,activation,1,Sept_15_17,No,Good,32,,
-70,-0.027160645,NoC,activation,1,Sept_15_17,No,Good,32,,
-65,-0.023803711,NoC,activation,1,Sept_15_17,No,Good,32,,
-60,-0.039978027,NoC,activation,1,Sept_15_17,No,Good,32,,
-55,-0.020446777,NoC,activation,1,Sept_15_17,No,Good,32,,
-50,-0.022583008,NoC,activation,1,Sept_15_17,No,Good,32,,
-45,-0.029907227,NoC,activation,1,Sept_15_17,No,Good,32,,
-40,0.004882813,NoC,activation,1,Sept_15_17,No,Good,32,,
-35,-0.015869141,NoC,activation,1,Sept_15_17,No,Good,32,,
-30,-0.010986328,NoC,activation,1,Sept_15_17,No,Good,32,,
-25,-0.054321289,NoC,activation,1,Sept_15_17,No,Good,32,,
-20,-0.215454102,NoC,activation,1,Sept_15_17,No,Good,32,,
-15,-1.000976563,NoC,activation,1,Sept_15_17,No,Good,32,,
-10,-1.59942627,NoC,activation,1,Sept_15_17,No,Good,32,,
-5,-1.714172363,NoC,activation,1,Sept_15_17,No,Good,32,,
0,-1.669311523,NoC,activation,1,Sept_15_17,No,Good,32,,
5,-1.567993164,NoC,activation,1,Sept_15_17,No,Good,32,,
10,-1.448669434,NoC,activation,1,Sept_15_17,No,Good,32,,
15,-1.322631836,NoC,activation,1,Sept_15_17,No,Good,32,,
20,-1.207275391,NoC,activation,1,Sept_15_17,No,Good,32,,
25,-1.099853516,NoC,activation,1,Sept_15_17,No,Good,32,,
30,-0.990905762,NoC,activation,1,Sept_15_17,No,Good,32,,
35,-0.870056152,NoC,activation,1,Sept_15_17,No,Good,32,,
40,-0.776062012,NoC,activation,1,Sept_15_17,No,Good,32,,
45,-0.707702637,NoC,activation,1,Sept_15_17,No,Good,32,,
50,-0.608825684,NoC,activation,1,Sept_15_17,No,Good,32,,
55,-0.535583496,NoC,activation,1,Sept_15_17,No,Good,32,,
60,-0.452880859,NoC,activation,1,Sept_15_17,No,Good,32,,
65,-0.337219238,NoC,activation,1,Sept_15_17,No,Good,32,,
70,-0.283203125,NoC,activation,1,Sept_15_17,No,Good,32,,
75,-0.22277832,NoC,activation,1,Sept_15_17,No,Good,32,,
80,-0.118713379,NoC,activation,1,Sept_15_17,No,Good,32,,
85,-0.05279541,NoC,activation,1,Sept_15_17,No,Good,32,,
90,-0.021972656,NoC,activation,1,Sept_15_17,No,Good,32,,
-80,-0.030212402,NoC,activation,1,Sept_15_17,Yes,Good,32,,
-75,-0.020141602,NoC,activation,1,Sept_15_17,Yes,Good,32,,
-70,-0.026550293,NoC,activation,1,Sept_15_17,Yes,Good,32,,
-65,-0.016174316,NoC,activation,1,Sept_15_17,Yes,Good,32,,
-60,-0.015258789,NoC,activation,1,Sept_15_17,Yes,Good,32,,
-55,-0.024414063,NoC,activation,1,Sept_15_17,Yes,Good,32,,
-50,-0.032653809,NoC,activation,1,Sept_15_17,Yes,Good,32,,
-45,-0.071411133,NoC,activation,1,Sept_15_17,Yes,Good,32,,
-40,-0.087280273,NoC,activation,1,Sept_15_17,Yes,Good,32,,
-35,-0.09979248,NoC,activation,1,Sept_15_17,Yes,Good,32,,
-30,-0.174560547,NoC,activation,1,Sept_15_17,Yes,Good,32,,
-25,-0.422363281,NoC,activation,1,Sept_15_17,Yes,Good,32,,
-20,-1.018676758,NoC,activation,1,Sept_15_17,Yes,Good,32,,
-15,-1.362304688,NoC,activation,1,Sept_15_17,Yes,Good,32,,
-10,-1.414489746,NoC,activation,1,Sept_15_17,Yes,Good,32,,
-5,-1.368408203,NoC,activation,1,Sept_15_17,Yes,Good,32,,
0,-1.29119873,NoC,activation,1,Sept_15_17,Yes,Good,32,,
5,-1.178894043,NoC,activation,1,Sept_15_17,Yes,Good,32,,
10,-1.07421875,NoC,activation,1,Sept_15_17,Yes,Good,32,,
15,-0.975952148,NoC,activation,1,Sept_15_17,Yes,Good,32,,
20,-0.865783691,NoC,activation,1,Sept_15_17,Yes,Good,32,,
25,-0.770874023,NoC,activation,1,Sept_15_17,Yes,Good,32,,
30,-0.68359375,NoC,activation,1,Sept_15_17,Yes,Good,32,,
35,-0.60333252,NoC,activation,1,Sept_15_17,Yes,Good,32,,
40,-0.537719727,NoC,activation,1,Sept_15_17,Yes,Good,32,,
45,-0.463867188,NoC,activation,1,Sept_15_17,Yes,Good,32,,
50,-0.404663086,NoC,activation,1,Sept_15_17,Yes,Good,32,,
55,-0.327148438,NoC,activation,1,Sept_15_17,Yes,Good,32,,
