Voltage,Decay_Time,Decay_Slope,Real_Tau,Tau_Fast,Tau_Slow,Species,Recording,replicate,Date,Venom,Set
-80,0.057807911,0.555417776,,59.10858154,NA,Rat,activation,1,Oct_12_16,No,5
-75,0.358704597,0.0680544,,13.37836552,1.147491455,Rat,activation,1,Oct_12_16,No,5
-70,0.055894949,0.405882239,,0.398238808,NA,Rat,activation,1,Oct_12_16,No,5
-65,0.084000319,0.366209537,,0.322764009,NA,Rat,activation,1,Oct_12_16,No,5
-60,0.096444815,0.494382888,,17.80209351,0.345711172,Rat,activation,1,Oct_12_16,No,5
-55,0.047647242,0.726315618,,0.31324017,NA,Rat,activation,1,Oct_12_16,No,5
-50,0.158157468,0.111388735,,0.304776013,NA,Rat,activation,1,Oct_12_16,No,5
-45,0.037711412,0.43334797,,0.324019819,NA,Rat,activation,1,Oct_12_16,No,5
-40,0.053400204,0.640866697,,14.20390415,0.320658714,Rat,activation,1,Oct_12_16,No,5
-35,0.362450808,0.06866429,,0.329394251,NA,Rat,activation,1,Oct_12_16,No,5
-30,0.038250145,0.341795564,,8.80769825,0.339649171,Rat,activation,1,Oct_12_16,No,5
-25,0.398541689,0.075378358,1.49784,8.850576401,1.099776864,Rat,activation,1,Oct_12_16,No,5
-20,2.293409348,0.029231858,1.05645,15.12252998,4.3871665,Rat,activation,1,Oct_12_16,No,5
-15,2.12748313,0.202266395,0.83902,4.62114048,1.983210444,Rat,activation,1,Oct_12_16,No,5
-10,1.495841503,0.637610912,0.751578,14.14811707,10.14528656,Rat,activation,1,Oct_12_16,No,5
-5,1.352026939,0.867385805,0.719664,-10.99546146,7.386690617,Rat,activation,1,Oct_12_16,No,5
0,1.201263666,0.992210329,0.600509,0.875003994,0.653362513,Rat,activation,1,Oct_12_16,No,5
5,0.992404044,1.131536365,0.506584,6.644450188,0.627564669,Rat,activation,1,Oct_12_16,No,5
10,0.915202856,1.121132493,0.465098,7.908454418,0.554348826,Rat,activation,1,Oct_12_16,No,5
15,0.824380875,1.108676195,0.448876,9.685528755,8.07043457,Rat,activation,1,Oct_12_16,No,5
20,0.757981002,1.050313354,0.438687,9.572342873,1.110295773,Rat,activation,1,Oct_12_16,No,5
25,0.734689713,0.963897467,0.436949,9.707951546,2.903773785,Rat,activation,1,Oct_12_16,No,5
30,0.622366786,0.909932017,0.464196,-26.22842979,9.202539444,Rat,activation,1,Oct_12_16,No,5
35,0.591813147,0.826154709,,16.10981178,0.21821326,Rat,activation,1,Oct_12_16,No,5
40,0.492614836,0.755091786,,8.802310944,7.429290295,Rat,activation,1,Oct_12_16,No,5
45,0.538787365,0.584084868,,61.62194443,8.739783287,Rat,activation,1,Oct_12_16,No,5
50,0.351007253,0.667725325,,11.45703125,8.632284164,Rat,activation,1,Oct_12_16,No,5
55,0.241021797,0.531006813,,11.62196159,7.136877537,Rat,activation,1,Oct_12_16,No,5
60,0.1002132,0.605774879,,13.02125835,0.348313272,Rat,activation,1,Oct_12_16,No,5
65,0.032611888,0.518796861,,73.20131683,11.02282238,Rat,activation,1,Oct_12_16,No,5
70,0.026706623,0.280760646,,-58.20307922,8.407189369,Rat,activation,1,Oct_12_16,No,5
75,0.005833356,0.457761914,,14.59254074,0.357012868,Rat,activation,1,Oct_12_16,No,5
80,0.01478577,0.299071133,,8.773501396,0.347072899,Rat,activation,1,Oct_12_16,No,5
85,NA,0.344847322,,8.968770027,3.697718143,Rat,activation,1,Oct_12_16,No,5
90,0.046799287,0.396734565,,7.306958199,1.071760178,Rat,activation,1,Oct_12_16,No,5
-80,0.041727431,0.704953372,,-58.59516144,NA,Rat,activation,2,Oct_12_16,No,5
-75,0.052751396,0.637814939,,15.42511368,NA,Rat,activation,2,Oct_12_16,No,5
-70,0.062148884,0.225829214,,163.1320801,NA,Rat,activation,2,Oct_12_16,No,5
-65,0.055745669,0.503538132,,88.29908752,NA,Rat,activation,2,Oct_12_16,No,5
-60,0.053821396,0.460813671,,16.49712563,NA,Rat,activation,2,Oct_12_16,No,5
-55,0.069767527,0.369268328,,-1076.780029,NA,Rat,activation,2,Oct_12_16,No,5
-50,0.044000167,0.576780021,,19.83889389,NA,Rat,activation,2,Oct_12_16,No,5
-45,0.033480126,0.534055591,,25.5855751,NA,Rat,activation,2,Oct_12_16,No,5
-40,0.035961509,0.711056828,,20.15339851,NA,Rat,activation,2,Oct_12_16,No,5
-35,0.092195474,0.250243187,,24.00082016,NA,Rat,activation,2,Oct_12_16,No,5
